,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
0,1397571,0.29,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,3,2 Car Deep (Tandem); Built-In; Opener,,Gas: Central,1397571_b4ef63b3f0aab1c4497bd7596c6da1b0_2370738.jpg,40.779524,-111.893542,725000,00/00/0000,1,0,See Remarks; Concrete/Gunite; Heated; In Ground; With Spa,Single Family,Asphalt Shingles,Salt Lake,752000,7244,4.0,5.0,5415,1998,2
1,1394021,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Parking: Covered,165.0,Hot Water,1394021_9c7a44394ac7f3d6a38d3e71867edd13_1006444.jpg,40.773243,-111.88329099999999,205000,00/00/0000,0,0,,Condo,Flat; Membrane,Salt Lake,205000,1431,2.0,1.0,924,1965,0
2,1393604,0.11,101,Full,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central; &gt;= 95% efficiency,1393604_6645ad6b29e3ac8db6982171e0890871_10468177.jpg,40.773972,-111.86747,390000,00/00/0000,1,0,,Single Family,Asphalt Shingles; Pitched,Salt Lake,390000,1816,3.0,1.0,1702,1940,2
3,1393602,0.14,101,Full,Salt Lake City,Salt Lake,0,1,See Remarks; Built-In; Opener,,Forced Air; Gas: Central; &gt;= 95% efficiency,1393602_9faafa1b01e9c669f68d47166b2b547d_8239043.jpg,40.783009,-111.8721,445000,00/00/0000,1,3,,Single Family,Asphalt Shingles; Pitched,Salt Lake,443000,3260,3.0,2.0,1756,1940,2
5,1393370,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Built-In; Heated; Opener,620.0,Electric; Forced Air,1393370_02effac5c29f53fc1a7d3270d205b336_2431150.jpg,40.771693,-111.886951,339000,00/00/0000,0,2,Heated; In Ground; Indoor; With Spa,Condo,Flat,Salt Lake,334000,2141,3.0,2.0,1368,1976,0
6,1392721,0.14,101,Daylight; Entrance; Partial; Walkout,Salt Lake City,Salt Lake,1,2,Opener; Parking: Uncovered; Storage Above; Workbench,,Forced Air; Gas: Central; &gt;= 95% efficiency,1392721_73c81d1f44cca4edd24b277852af3a50_2122952.jpg,40.783889,-111.872194,600000,00/00/0000,1,2,,Single Family,Asphalt Shingles; Bitumen,Salt Lake,570000,4197,3.0,3.0,2956,1950,2
7,1392741,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,Detached; Parking: Covered,289.0,Electric; Hot Water,1392741_1bed2f559e9053cc86bb2dba0432ccfc_1701174.jpg,40.775431,-111.873783,209900,00/00/0000,0,1,,Condo,Rubber (EPDM),Salt Lake,215000,1478,2.0,2.0,1085,1968,0
9,1391580,0.09,101,Daylight; Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1391580_c9c09ed626a0f50ed2febea7810cfbd8_140511.jpg,40.775075,-111.87226000000001,399900,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,399000,2207,3.0,2.0,1539,1916,2
10,1391675,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Heated; Opener; Parking: Covered,331.0,Forced Air; Gas: Central,1391675_f6a6d64d1ffc32fc345c46b207284aeb_330501.jpg,40.772489,-111.88495900000001,450000,00/00/0000,0,0,Heated; In Ground; With Spa,Condo,,Salt Lake,445500,2904,2.0,3.0,2113,1985,0
12,1391069,0.07,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1391069_4f2aba2f453315f3306712a50f1c3062_5103107.jpg,40.7728,-111.877568,300000,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,300000,2077,2.0,1.0,1082,1891,2
13,1390589,0.09,101,Full,Salt Lake City,Salt Lake,0,1,Detached; Opener,,Forced Air; Gas: Central,1390589_9899e389cf2cbdee10a41f6ac9997b4e_2267230.jpg,40.781456,-111.891783,489900,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,478250,4232,3.0,3.0,3387,1986,2
16,1388572,0.07,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Parking: Uncovered,,Forced Air; Gas: Central; &gt;= 95% efficiency,1388572_858a5f779e088cb4ebc55326b86ea1b2_3067780.jpg,40.784531,-111.872999,359500,00/00/0000,2,2,,Single Family,Rubber (EPDM),Salt Lake,360000,1762,2.0,1.0,1211,1939,2
17,1388576,0.09,101,Entrance; Partial; Shelf,Salt Lake City,Salt Lake,0,1,See Remarks; Detached,,,1388576_6d9052ef46955b4b288f2f93704cd698_3447484.jpg,40.771684,-111.8664,225000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,225000,1554,2.0,0.0,2726,1889,2
18,1388740,0.08,101,Shelf,Salt Lake City,Salt Lake,0,1,Detached; Opener,,Forced Air; Gas: Central,1388740_020b1f9db10156cd51b703fa97aa5d0b_957269.jpg,40.776419,-111.868179,359000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,368000,1767,2.0,1.0,1656,1907,2
19,1388159,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Built-In,368.0,Forced Air,1388159_03b075b478bb24b02340cf388ffdbac3_2167883.jpg,40.774293,-111.89073400000001,229000,00/00/0000,0,0,In Ground,Condo,Rubber (EPDM),Salt Lake,225000,1438,2.0,1.0,1000,1962,0
22,1387695,0.11,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,0,Parking: Covered; Parking: Uncovered,,Forced Air; Gas: Central,1387695_ac37889d0c638329ccdc0c9fa08b57be_298064.jpg,40.782427,-111.875999,475000,00/00/0000,1,1,,Single Family,Asphalt Shingles; Bitumen; Flat; Pitched; Rubber (EPDM); Tile,Salt Lake,480000,2221,3.0,2.0,2325,1936,2
24,1386280,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,See Remarks; Parking: Covered,205.0,Electric; Forced Air,1386280_aa999bd6d2aa165113360281a4c43815_2297503.jpg,40.770571999999994,-111.886124,200000,00/00/0000,1,1,,Condo,,Salt Lake,190000,1605,1.0,2.0,944,1979,0
25,1385862,0.17,101,Full,Salt Lake City,Salt Lake,1,2,Detached; Opener,,Forced Air; Gas: Central,1385862_2279ff87db59e6178632a9dde44d0e7d_551092.jpg,40.7728,-111.880048,499900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,503000,1909,3.0,2.0,2791,1895,2
26,1386086,0.06,101,Daylight; Entrance; Full,Salt Lake City,Salt Lake,0,0,,,Gas: Central; Wood Burning,1386086_628e04c57c9a226c0703a0ef4f57ce15_3865236.jpg,40.776493,-111.89406100000001,349000,00/00/0000,0,1,,Single Family,Asphalt Shingles; Rubber (EPDM),Salt Lake,336500,2199,3.0,3.0,1919,1916,2
29,1385090,0.16,101,Entrance; Partial; Shelf,Salt Lake City,Salt Lake,1,1,See Remarks; Detached; Opener; Parking: Uncovered,,See Remarks; Gas: Radiant; Hot Water,1385090_57ece8f08ea0138587703dc19ca924b7_854694.jpg,40.777951,-111.86699899999999,375000,00/00/0000,0,1,,Single Family,Asphalt Shingles,Salt Lake,365000,2385,2.0,1.0,2033,1906,2
31,1384273,0.07,101,Full,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1384273_982e29989d6cf2be8ff3b420b90086b7_851864.jpg,40.772647,-111.880198,399000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,406000,2435,3.0,2.0,2300,1926,2
32,1384306,0.13,101,Daylight; Walkout; See Remarks,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Forced Air; Gas: Central,1384306_6716ab4b572dcf952c277fb7844edc29_207065.jpg,40.776112,-111.892273,619900,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,597250,3223,5.0,4.0,4039,1868,2
33,1384366,0.26,101,Full,Salt Lake City,Salt Lake,0,2,Attached,,Gas: Central,1384366_45f1b596a30c9fa57828eed2f961407b_540476.jpg,40.788615,-111.873527,499000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,499000,4254,5.0,3.0,2954,1959,2
35,1385470,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Attached,432.0,Forced Air,1385470_ed0b3e5c9c61b2c02a744758a403f5a9_2944238.jpg,40.774143,-111.892214,319900,00/00/0000,0,0,Concrete/Gunite; Heated; In Ground,Condo,,Salt Lake,311500,2484,2.0,2.0,1600,1976,0
36,1383145,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,See Remarks; Built-In,165.0,Forced Air,1383145_83b68c935ac338916f9f708be3854f32_607984.jpg,40.7706,-111.886156,250000,00/00/0000,0,0,,Condo,Asphalt Shingles,Salt Lake,248000,1820,2.0,1.0,952,1966,0
37,1383272,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Detached; Parking: Covered,290.0,Hot Water,1383272_4f46c26c17af0cc83f803e79345d8bba_293129.jpg,40.775106,-111.873924,200000,00/00/0000,0,0,,Condo,Rubber (EPDM),Salt Lake,200000,1150,2.0,2.0,1100,1968,0
38,1382955,0.16,101,Partial,Salt Lake City,Salt Lake,1,2,Attached; Opener; Rv Parking,,Electric: Radiant,1382955_018b6413f3581f6a1a25208926cd7bb4_2949072.jpg,40.780882,-111.891609,499000,00/00/0000,1,0,,Single Family,Asphalt Shingles,,489000,3420,2.0,3.0,2714,1925,2
39,1403066,0.29,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,3,Attached,,Forced Air; Gas: Central,nophoto.jpg,40.781875,-111.869454,640000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,560500,3973,5.0,4.0,3958,1951,2
40,1382766,0.11,101,None/Crawl Space; See Remarks,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1382766_8ee0c199dfdbf5b71881d44f2488173e_339113.jpg,40.781622999999996,-111.900999,269900,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,274500,1660,2.0,1.0,1196,1916,2
41,1382777,0.14,101,Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,2,Detached; Opener,,Forced Air; Gas: Central,1382777_f9d769c7ea3fbca0f114d79d3570fec9_1889357.jpg,40.7819,-111.87419299999999,599500,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,570000,3710,4.0,3.0,2956,1937,2
42,1382492,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Attached; Parking: Covered,324.0,Forced Air; Gas: Central,1382492_e8f0c4b83602a668195df0dad200304d_240994.jpg,40.773058,-111.88447,385000,00/00/0000,1,0,Heated; Indoor; With Spa,Condo,,Salt Lake,385000,2868,2.0,3.0,2140,1985,0
44,1381690,0.2,101,Partial,Salt Lake City,Salt Lake,2,2,Attached; Opener,,Forced Air; Gas: Central,1381690_cec702343ae16e4afc5b904d09f48169_118253.jpg,40.787735999999995,-111.862729,629900,00/00/0000,2,0,,Single Family,Tar/Gravel,Salt Lake,616000,4156,3.0,3.0,2826,1973,2
46,1381939,0.11,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air,1381939_2163b0a5423249c24961975f1209091d_4440871.jpg,40.772652,-111.858415,315000,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,307000,2112,4.0,3.0,1881,1942,2
47,1380942,0.05,101,Partial,Salt Lake City,Salt Lake,0,1,Detached,,Hot Water; Steam,1380942_d3a035c1f6942d10e5ef619d6e3eb57f_347775.jpg,40.773824,-111.873345,439900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,437900,3502,3.0,2.0,2348,1905,2
48,1380983,0.14,101,Entrance; Partial,Salt Lake City,Salt Lake,1,1,Built-In; Extra Width; Workbench,,Forced Air; Gas: Central,1380983_e16ff2dbf82d50837802ac6c0d74c84b_410638.jpg,40.779232,-111.867433,399900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,386000,2546,3.0,1.0,1911,1927,2
49,1381253,0.11,101,Partial,Salt Lake City,Salt Lake,1,1,See Remarks; Detached; Opener; Rv Parking,,Forced Air; Gas: Central,1381253_3bcaea358fff7e9c59be44a5bdd181a9_1924621.jpg,40.771243,-111.862499,674500,00/00/0000,0,1,,Single Family,Asphalt Shingles,Salt Lake,669000,5063,3.0,3.0,3120,1899,2
50,1380749,0.09,101,Partial,Salt Lake City,Salt Lake,2,1,Detached,,Forced Air; Gas: Central,1380749_3424c9b7c5c44408460f8d4514bd65c8_958537.jpg,40.781164000000004,-111.893188,448690,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,448690,3019,4.0,2.0,2083,1940,2
52,1380142,0.33,101,Daylight; Full; Walkout,Salt Lake City,Salt Lake,1,2,Extra Width; Opener; Extra Length,,Gas: Central,1380142_7d3829f6476c2870ec720c4ccbdffbbe_456500.jpg,40.786541,-111.864929,799000,00/00/0000,1,2,,Single Family,Tile,Salt Lake,727600,6033,5.0,3.0,5038,1971,2
53,1379307,0.11,101,Walkout,Salt Lake City,Salt Lake,0,1,Detached,,Forced Air; Gas: Central,1379307_2a6414b5e3ca10060f269b04b551a95c_198734.jpg,40.771384999999995,-111.859508,359000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,353200,2002,4.0,2.0,1535,1928,2
55,1378989,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,,305.0,Electric; Forced Air,1378989_26bc28c14443e4565311d016d02191a5_114230.jpg,40.77172,-111.88618999999998,389000,00/00/0000,0,0,,Condo,Composition,Salt Lake,375000,2376,2.0,2.0,1720,1981,0
56,1379089,0.11,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Detached,,Forced Air; Gas: Central,1379089_4e7e509eae5a800cffdd248654eb2645_643324.jpg,40.781532,-111.896899,349000,00/00/0000,3,0,,Single Family,Asphalt Shingles,Salt Lake,344500,1769,2.0,2.0,1704,1852,2
57,1379092,0.14,101,Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,1,See Remarks; Attached; Extra Width; Opener,,See Remarks; Forced Air; Gas: Central,1379092_33d569bab0fb4a6773c51dcd816cb6a6_172187.jpg,40.780751,-111.87252,469900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,472000,2539,3.0,2.0,1933,1941,2
58,1379132,0.14,101,Walkout,Salt Lake City,Salt Lake,1,2,Detached,1.0,Forced Air; Gas: Central; &gt;= 95% efficiency,1379132_40ee28778ef0a1d9367712912ae287f8_6218671.jpg,40.772851,-111.873912,599999,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,587500,3492,5.0,3.0,3486,1910,2
59,1378267,0.08,101,Partial; Shelf,Salt Lake City,Salt Lake,0,1,Detached,,See Remarks; Gas: Central,1378267_4150847100ec49e02a3eaec6699940d2_731951.jpg,40.773333,-111.87036499999999,397000,00/00/0000,0,2,,Single Family,See Remarks; Asphalt Shingles,Salt Lake,394500,1100,3.0,2.0,2000,1902,2
60,1378060,0.1,101,Entrance,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1378060_46cd789c945a04041c38327469d7b31a_145539.jpg,40.774004,-111.893833,373900,00/00/0000,0,2,,Single Family,See Remarks; Asphalt Shingles; Pitched,Salt Lake,370000,1820,3.0,2.0,2125,1906,2
63,1377471,0.11,101,Walkout; See Remarks,Salt Lake City,Salt Lake,0,0,See Remarks; Detached; Parking: Uncovered,,Forced Air,1377471_73dc4892bae8112e828d2eec7728b756_425241.jpg,40.772207,-111.853499,479900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,515000,1606,4.0,3.0,2775,1908,2
64,1377523,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,,170.0,Electric: Baseboard; Hot Water,1377523_d2db5daa00014037e8bfbabfdcf0f216_410060.jpg,40.773967,-111.875004,215000,00/00/0000,0,1,,Condo,Asphalt Shingles,Salt Lake,225000,1447,2.0,1.0,900,1955,0
65,1377675,0.21,101,Partial,Salt Lake City,Salt Lake,3,2,Detached; Extra Width; Opener; Parking: Uncovered; Extra Length; Workshop,,Forced Air; Gas: Central,1377675_392be3d37f12af8c6fcd1b71986e6095_722522.jpg,40.781239,-111.868122,850000,00/00/0000,0,6,,Single Family,Flat; Rubber (EPDM),Salt Lake,833000,4955,4.0,3.0,2691,1936,2
66,1377741,0.18,101,Full; Walkout,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1377741_fa458cac5972bc4b22849b3eb98e8454_944815.jpg,40.7762,-111.87386399999998,499999,00/00/0000,2,3,,Single Family,Asphalt Shingles,Salt Lake,500000,3172,5.0,3.0,3363,1908,2
67,1377249,0.12,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Opener; Parking: Uncovered,,Forced Air; Gas: Central,1377249_5856a70e33ac6a39c38666212b6d61c4_18474611.jpg,40.774,-111.875601,375000,00/00/0000,0,0,,Single Family,Aluminum; Metal,Salt Lake,360300,1454,2.0,1.0,2002,1937,2
68,1377320,0.1,101,Entrance; Full,Salt Lake City,Salt Lake,1,2,Detached; Opener,,Forced Air; Gas: Central,1377320_f44eccbcc693eaeda5cff602fae614de_141152.jpg,40.783745,-111.895776,449999,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,440200,2989,4.0,4.0,2324,2010,2
70,1376667,0.29,101,Daylight; Entrance; Full,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Forced Air; Gas: Central; Wall Heater; Wood Burning,1376667_38d5eb3eacfe9dfa014db44a35d05d0e_255883.jpg,40.789297,-111.872961,664900,00/00/0000,0,4,,Single Family,Tile,Salt Lake,659900,3673,5.0,3.0,4066,1957,2
72,1376368,0.28,101,Full,Salt Lake City,Salt Lake,0,2,Attached; Opener; Workshop,,Electric: Baseboard; Gas: Central,1376368_b35995dadd0ee0eeaac8c33574937bf8_3757215.jpg,40.788928000000006,-111.874574,650000,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,640000,4371,4.0,3.0,3492,1975,2
73,1375685,0.1,101,Full,Salt Lake City,Salt Lake,0,1,Detached,,Forced Air; Gas: Central,1375685_44bee9b8c37e5bc977ec30737777002c_770710.jpg,40.783356,-111.894016,309000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,298000,1469,3.0,2.0,1538,1928,2
74,1375889,0.28,101,Daylight; Full; Walkout,Salt Lake City,Salt Lake,2,1,Detached; Opener; Parking: Uncovered,,Forced Air; Gas: Central; &gt;= 95% efficiency,1375889_32b971e1dc8b82052a5b9b51ea2e5f62_348323.jpg,40.788016,-111.87051299999999,899000,00/00/0000,2,4,,Single Family,Pvc,Salt Lake,860000,3946,5.0,3.0,3198,1956,2
