,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
135,1356221,0.04,101,Full; See Remarks,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1356221_67f280e00177dbd80dd7e3746ad2bce4_2069220.jpg,40.771086,-111.86829399999999,690000,00/00/0000,1,0,,Single Family,,Salt Lake,690000,4304,2.0,2.0,4432,1891,2
136,1355917,0.12,101,Entrance; Partial,Salt Lake City,Salt Lake,1,1,Detached; Opener; Storage Above,,Gas: Central,1355917_92b9bf80bdae651c93b4a97d7f8ddd83_817173.jpg,40.771398,-111.863203,620000,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,606200,4256,4.0,3.0,3242,1898,2
137,1355627,0.12,101,Full,Salt Lake City,Salt Lake,1,1,Attached,,Forced Air; Gas: Central,1355627_95631521e4fa5f8812d595b8334f9c6f_3264789.jpg,40.777538,-111.86999899999999,345000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,340000,2305,3.0,2.0,1600,1941,2
138,1355303,0.08,101,Full,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1355303_574fd4ced04eb1dde11268dc8b0e0b82_134628.jpg,40.775852,-111.877827,299900,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,309900,1460,4.0,2.0,2704,1910,2
139,1355311,0.14,101,Full; Walkout,Salt Lake City,Salt Lake,0,3,Detached; Extra Length; Workshop,,Forced Air; Gas: Central,1355311_939d13662e2b4797e6d6ecf6104f5318_4200722.jpg,40.773365999999996,-111.864034,599900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,599900,1991,4.0,3.0,2457,1906,2
141,1355320,0.01,101,Partial,Salt Lake City,Salt Lake,3,2,Attached; Opener,,Forced Air; Gas: Central; Hydronic,1355320_1343a3e7da7df6c338aee67197849d83_252056_crop.jpg,40.784853999999996,-111.87576399999999,679000,00/00/0000,1,0,See Remarks; Indoor; With Spa,Condo,See Remarks; Flat; Rubber (EPDM),Salt Lake,650000,4422,3.0,3.0,2548,2005,0
142,1354138,0.07,101,None/Crawl Space; Entrance; Shelf,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1354138_5596823526d225803afca23e95916fec_3257148.jpg,40.773339,-111.875999,400000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,400000,3544,4.0,2.0,2312,1904,2
143,1354199,0.09,101,Partial,Salt Lake City,Salt Lake,1,2,Detached,,Forced Air; Gas: Central; &gt;= 95% efficiency,1354199_9a98cce5a66a4baa54908d1a9005101e_312421.jpg,40.7713,-111.880857,585000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,570000,3646,4.0,4.0,3294,1900,2
146,1353475,0.13,101,Partial,Salt Lake City,Salt Lake,1,2,Detached; Extra Height; Opener; Storage Above,,Gas: Central; Gas: Radiant,1353475_909f11082ee4feda64f5224af8641aac_1849792.jpg,40.770568,-111.871926,659000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,656000,2792,4.0,4.0,4370,1909,2
147,1352974,0.16,101,Entrance; Partial,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1352974_ae83847ce112025ab6fa92919ab04f8c_128244.jpg,40.782798,-111.87423799999999,409000,00/00/0000,3,0,,Single Family,Aluminum,Salt Lake,397000,3200,3.0,2.0,2180,1937,2
151,1352621,0.12,101,Partial; Shelf,Salt Lake City,Salt Lake,1,1,Detached,,Forced Air,1352621_905351280aeddc51519040bf5a3b3cdb_1596506.jpg,40.78218,-111.87657800000001,275000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,255000,1958,2.0,1.0,892,1923,2
153,1352374,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,2,2,See Remarks; Attached; Opener; Parking: Covered,402.0,Electric; Forced Air,1352374_8f1b6551f15c9a4075676274a3a6c3dd_691749.jpg,40.77466,-111.893152,390000,00/00/0000,0,0,Heated; Indoor; With Spa,Condo,Rubber (EPDM),Salt Lake,375000,1657,2.0,2.0,1270,1976,0
154,1352308,0.01,101,Slab,Salt Lake City,Salt Lake,0,1,Built-In,528.0,Forced Air; Heat Pump,1352308_603d1467dd1025e790b5a7aab309aa37_577561.jpg,40.771963,-111.88668799999999,299900,00/00/0000,0,0,Heated; In Ground; With Spa,Condo,Composition,Salt Lake,267000,1897,2.0,2.0,1167,1976,0
155,1351541,0.17,101,Daylight; Entrance,Salt Lake City,Salt Lake,0,3,Detached; Opener; Extra Length; Workbench,,Electric: Baseboard; Gas: Radiant,1351541_3898a666e1dba90f320ec68322a52926_854299.jpg,40.769467999999996,-111.849659,949000,00/00/0000,1,0,,Single Family,Tile; Wood Shake Shingles,Salt Lake,920000,9205,4.0,5.0,4403,1922,2
156,1351048,0.14,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Extra Width; Opener; Storage Above,,Forced Air; Gas: Central,1351048_12adc507ea767d75b11c266e7794c842_3824564.jpg,40.772032,-111.869352,464900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,460000,2611,3.0,2.0,2665,1910,2
158,1350878,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Detached; Parking: Covered,530.0,Forced Air; Gas: Central,1350878_2d559e1804c81aaa16988da568a6b431_59151.jpg,40.772271,-111.88640900000001,329000,00/00/0000,1,1,In Ground; Indoor; With Spa,Condo,Flat,Salt Lake,322000,2106,2.0,2.0,1205,1978,0
159,1350932,0.11,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Extra Width; Storage Above,,Forced Air; Gas: Central,1350932_4bfed4fe28b612a6b4620032610b7310_94683.jpg,40.770839,-111.86321799999999,440000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,340000,2329,3.0,2.0,2672,1901,2
160,1350784,0.08,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,See Remarks,,Forced Air,1350784_aef7af1c88b389429b0d9b6c6bdafd37_357426.jpg,40.776277,-111.87386799999999,279900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,269000,1966,2.0,1.0,1391,1900,2
161,1350311,0.69,101,Full; Walkout,Salt Lake City,Salt Lake,1,3,Attached; Opener; Workbench,,Forced Air,1350311_d650c04e3f2a8adbf874ad3f4f010d34_559635.jpg,40.79011,-111.89274499999999,988000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,980000,8680,5.0,4.0,4037,1996,2
162,1349685,0.15,101,Daylight; Full,Salt Lake City,Salt Lake,2,2,Detached; Opener,,Forced Air; Gas: Radiant,1349685_acf7c15787905f20d886b63ccd4f829c_2818291_270.jpg,40.770357000000004,-111.853224,960000,00/00/0000,1,4,,Single Family,Asphalt Shingles,Salt Lake,890000,5392,5.0,4.0,3687,1906,2
163,1349369,0.09,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Detached,,Gas: Radiant; Hot Water,1349369_a1cbda55019a1e5a7e9572e74f5da141_104608.jpg,40.774223,-111.875672,259900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,260000,1373,3.0,1.0,1390,1910,2
164,1348923,0.11,101,Partial; Shelf,Salt Lake City,Salt Lake,2,2,Detached; Extra Width; Opener,,Forced Air; Gas: Central,1348923_dc80bde6c7eb31c1063ce300b6841e38_5286106.jpg,40.7706,-111.862936,550000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,550000,2368,4.0,3.0,2747,1901,2
165,1348822,0.24,101,Full,Salt Lake City,Salt Lake,3,2,Detached; Opener; Rv Parking,,Electric: Baseboard; Gas: Radiant; Hot Water; Steam,1348822_b42b62fefd20d3ea8d301f156a36a96a_171680.jpg,40.772564,-111.849572,799900,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,785000,6645,4.0,4.0,4360,1921,2
166,1348574,0.1,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1348574_b036eb29319630bf51a7ec8a70a2fa07_102772.jpg,40.785404,-111.900512,224900,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,233700,935,4.0,2.0,1564,1910,2
167,1347961,0.08,101,Full,Salt Lake City,Salt Lake,0,0,,,Forced Air,1347961_8c0020fe7ac44ad8bb80b00d5c4044e8_1231305.jpg,40.779346000000004,-111.872221,264900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,260000,1804,2.0,1.0,1872,1906,2
169,1347020,0.23,101,Daylight; Shelf; Walkout,Salt Lake City,Salt Lake,1,0,Parking: Uncovered; Rv Parking; Extra Length,,Gas: Central; &gt;= 95% efficiency,1347020_7c9ca311e3b230d4337eb367595946c4_1846092.jpg,40.783512,-111.89563799999999,239000,00/00/0000,1,3,,Single Family,See Remarks; Asphalt Shingles,Salt Lake,220000,1450,4.0,1.0,2006,1891,2
170,1347107,0.15,101,See Remarks,Salt Lake City,Salt Lake,0,1,Detached; Workshop,,Forced Air; Gas: Central,1347107_f179c07489e95207e27bb960d21c8c5a_3575106.jpg,40.774311,-111.864081,389900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,384900,1885,3.0,2.0,1773,1937,2
171,1346970,0.2,101,Full; Walkout,Salt Lake City,Salt Lake,1,2,Attached; Detached; Opener; Workshop,,Forced Air; Gas: Central,1346970_bc788f48e5982777e7960679bcec95cc_401324.jpg,40.785466,-111.87496399999999,495000,00/00/0000,0,0,,Single Family,Metal,Salt Lake,495000,3916,2.0,2.0,2280,1973,2
172,1346169,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Detached; Opener,195.0,Gas: Central,1346169_7a71711e8a0f1ecc90cda897434ee326_4073019.jpg,40.772834,-111.865579,239900,00/00/0000,0,0,,Condo,Rubber (EPDM),Salt Lake,235000,1539,2.0,1.0,1298,1978,0
173,1346045,0.32,101,Full; Walkout,Salt Lake City,Salt Lake,5,2,Detached,,Gas: Radiant,1346045_029aa91933224f18313cc020a7c38bec_1815839.jpg,40.788587,-111.86448100000001,675000,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,565000,4263,4.0,3.0,5268,1986,2
174,1346065,0.18,101,Full,Salt Lake City,Salt Lake,0,2,Attached; Opener,,Forced Air; &gt;= 95% efficiency,1346065_1c14793a6ac3a5e9f77cf60a26485ded_322259.jpg,40.781028000000006,-111.890652,474900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,470000,1472,3.0,3.0,2643,2015,2
175,1346116,0.06,101,Partial; Shelf,Salt Lake City,Salt Lake,0,1,Attached,,Gas: Central,1346116_2d89efd28c3f621027650a2b3efaa5eb_4476432.jpg,40.771507,-111.866832,299900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,295900,1705,2.0,1.0,1536,1900,2
177,1345949,0.08,101,Daylight; Full; Walkout,Salt Lake City,Salt Lake,2,0,Parking: Covered; Parking: Uncovered,,Gas: Radiant,1345949_981d2c0d7563b9c5d23330b112199d34_492295.jpg,40.775774,-111.874599,489800,00/00/0000,0,3,,Single Family,Asphalt Shingles; Pitched,Salt Lake,463000,3796,3.0,4.0,3590,1910,2
180,1345420,0.13,101,Full,Salt Lake City,Salt Lake,1,1,Detached; Opener; Parking: Uncovered,,Forced Air; Gas: Central,1345420_ad0552e7d760bc3bde351ed69dfbdb71_4070436.jpg,40.783059,-111.873883,449900,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,427000,2280,3.0,2.0,1804,1939,2
181,1346624,0.31,101,Partial,Salt Lake City,Salt Lake,0,2,Opener,,Forced Air; Gas: Central,1346624_320c0e413cb4e5b1441e3e4ab3ca91ab_63610.jpg,40.78768,-111.87126,550000,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,550000,4712,3.0,3.0,3996,1973,2
